be|is,am,are,was,were,been,being
bear|bore,born,borne,bearing
beat|beaten,beating
become|became
begin|began,begun,beginning
bend|bent,bending
bind|bound,binding
bite|bit,bitten,biting
blow|blew,blown,blowing
break|broke,broken,breaking
bring|brought,bringing
build|built,building
burst|bursting
buy|bought,buying
cast|casting
catch|caught,catching
choose|chose,chosen,choosing
come|came,coming
cost|costing
creep|crept,creeping
cut|cutting
deal|dealt,dealing
dig|dug,digging
do|did,done,doing,does
draw|drew,drawn,drawing
dream|dreamt,dreaming
drink|drank,drunk,drinking
drive|drove,driven,driving
eat|ate,eaten,eating
fall|fell,fallen,falling
feed|fed,feeding
feel|felt,feeling
fight|fought,fighting
find|found,finding
fly|flew,flown,flying
forbid|forbade,forbidden,forbidding
forget|forgot,forgotten,forgetting
forgive|forgave,forgiven,forgiving
freeze|froze,frozen,freezing
get|got,gotten,getting,gets
give|gave,given,giving,gives
go|went,gone,going,goes
grow|grew,grown,growing
hang|hung,hanging
have|had,having,has
hear|heard,hearing
hide|hid,hidden,hiding
hit|hitting
hold|held,holding
hurt|hurting
keep|kept,keeping
know|knew,known,knowing
lay|laid,laying
lead|led,leading
lean|leant,leaning
leap|leapt,leaping
learn|learnt,learning
leave|left,leaving
lend|lent,lending
let|letting
lie|lay,lain,lying
light|lit,lighting
lose|lost,losing
make|made,making
mean|meant,meaning
meet|met,meeting
miss|missing
overcome|overcoming
pay|paid,paying
put|putting
quit|quitting
read|reading
ride|rode,ridden,riding
ring|rang,rung,ringing
rise|rose,risen,rising
run|ran,running
say|said,saying,says
see|saw,seen,seeing,sees
seek|sought,seeking
sell|sold,selling
send|sent,sending
set|setting
shake|shook,shaken,shaking
shed|shedding
shine|shone,shining
shoot|shot,shooting
show|showed,shown,showing
shrink|shrank,shrunk,shrinking
shut|shutting
sing|sang,sung,singing
sink|sank,sunk,sinking
sit|sat,sitting
sleep|slept,sleeping
slide|slid,sliding
smell|smelt,smelling
speak|spoke,spoken,speaking
speed|sped,speeding
spell|spelt,spelling
spend|spent,spending
spin|spun,spinning
spread|spreading
stand|stood,standing
steal|stole,stolen,stealing
stick|stuck,sticking
strike|struck,stricken,striking
swear|swore,sworn,swearing
sweep|swept,sweeping
swim|swam,swum,swimming
swing|swung,swinging
take|took,taken,taking,takes
teach|taught,teaching
tear|tore,torn,tearing
tell|told,telling
think|thought,thinking
throw|threw,thrown,throwing
understand|understood,understanding
wake|woke,woken,waking
wear|wore,worn,wearing
weave|wove,woven,weaving
weep|wept,weeping
win|won,winning
wind|wound,winding
withdraw|withdrew,withdrawn,withdrawing
write|wrote,written,writing,writes
can|could
will|would
shall|should
may|might
woman|women
child|children
foot|feet
tooth|teeth
mouse|mice
goose|geese
ox|oxen
person|people
formula|formulae
criterion|criteria
phenomenon|phenomena
analysis|analyses
crisis|crises
basis|bases
datum|data
medium|media
index|indices
life|lives
wife|wives
knife|knives
leaf|leaves
thief|thieves
half|halves
self|selves
wolf|wolves
calf|calves
